email_id,sender_domain_reputation_score,sender_temp_email_likelihood,content_profanity_score,content_urgency_score,content_suspicious_phrases_count,content_personal_info_requests,sender_domain_age_days,sender_suspicious_tld,ip_geolocation_risk,sender_email_length,recipient_interaction_history,attachment_types,attachment_count,url_shorteners_used,domain_in_subject,time_of_day_sent,bulk_email_indicators,reply_to_mismatch,grammar_errors_count,caps_lock_percentage,special_char_frequency,encoding_anomalies,header_anomalies,authentication_misalignment,recipient_count,cc_bcc_ratio,embedded_images_count,script_tags_present,form_elements_present,link_text_mismatch,domain_typosquatting,brand_impersonation_score,urgency_keywords,financial_keywords_count,offer_keywords_count,threat_keywords_count,html_complexity_score,text_html_ratio,attachment_hash_suspicious,macro_enabled_files,executable_attachments,archive_files_present,attachment_size_mb,sender_frequency_24h,recipient_frequency_24h,bounce_rate,domain_freshness_days,spf_record_exists,dkim_signature_present,dmarc_policy,ip_reputation_score,sender_email_free_provider,recipient_domain_match,link_redirect_chains,url_domain_mismatch,ssl_certificate_valid,days_since_domain_registered,email_client_suspicious,language_mismatch,geo_location_mismatch,time_zone_mismatch,duplicate_recipients,max_metadata_suspicious_score,total_embedded_file_count,max_suspicious_string_entropy_score,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,request_type,spf_result,dkim_result,dmarc_result,dmarc_enforced,Classification
email_001,0.89,0.05,0.02,0.15,0,0,2847,0,0.12,22,1,none,0,0,0,14,0,0,1,0.02,0.03,0,0,0,1,0,0,0,0,0,0,0.01,0,0,0,0,0.18,0.45,0,0,0,0,0,2,1,0.01,2847,1,1,reject,0.92,0,1,0,0,1,2847,0,0,0,0,0,0.08,0,0,0.85,0.89,0.91,none,pass,pass,pass,1,No Action
email_002,0.92,0.03,0.01,0.08,0,0,3654,0,0.08,18,1,pdf,1,0,0,10,0,0,0,0.01,0.02,0,0,0,1,0,0,0,0,0,0,0.02,0,0,0,0,0.22,0.38,0,0,0,0,0.8,1,1,0.02,3654,1,1,quarantine,0.95,0,1,0,0,1,3654,0,0,0,0,0,0.05,1,0,0.91,0.94,0.93,document_download,pass,pass,pass,1,No Action
email_003,0.86,0.08,0.03,0.22,1,0,1589,0,0.15,25,1,none,0,0,0,9,0,0,2,0.03,0.04,0,0,0,1,0,0,0,0,0,0,0.03,1,0,0,0,0.25,0.42,0,0,0,0,0,3,2,0.03,1589,1,1,reject,0.88,0,1,0,0,1,1589,0,0,0,0,0,0.10,0,1,0.82,0.86,0.84,meeting_request,pass,pass,pass,1,No Action
email_004,0.95,0.01,0.00,0.05,0,0,4521,0,0.05,20,1,docx,1,0,0,11,0,0,0,0.00,0.01,0,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0.15,0.50,0,0,0,0,1.2,1,1,0.01,4521,1,1,quarantine,0.98,0,1,0,0,1,4521,0,0,0,0,0,0.02,1,0,0.96,0.98,0.97,document_download,pass,pass,pass,1,No Action
email_005,0.83,0.11,0.05,0.28,2,0,987,0,0.18,28,0,none,0,0,0,16,0,0,3,0.05,0.06,0,0,0,2,0,0,0,0,0,0,0.05,1,1,0,0,0.32,0.35,0,0,0,0,0,4,3,0.05,987,1,1,reject,0.80,0,0,0,0,1,987,0,0,0,0,0,0.11,0,1,0.78,0.81,0.79,none,pass,pass,pass,1,No Action
email_006,0.91,0.04,0.02,0.12,0,0,2156,0,0.10,21,1,xlsx,1,0,0,13,0,0,1,0.02,0.03,0,0,0,1,0,0,0,0,0,0,0.01,0,0,0,0,0.20,0.40,0,0,0,0,0.9,2,1,0.02,2156,1,1,quarantine,0.93,0,1,0,0,1,2156,0,0,0,0,0,0.06,1,0,0.88,0.92,0.90,document_download,pass,pass,pass,1,No Action
email_007,0.88,0.06,0.01,0.16,0,0,3012,0,0.11,23,1,none,0,0,0,8,0,0,1,0.01,0.02,0,0,0,1,0,0,0,0,0,0,0.02,0,0,0,0,0.19,0.43,0,0,0,0,0,1,1,0.01,3012,1,1,reject,0.90,0,1,0,0,1,3012,0,0,0,0,0,0.07,0,0,0.84,0.88,0.86,meeting_request,pass,pass,pass,1,No Action
email_008,0.94,0.02,0.00,0.06,0,0,3889,0,0.06,19,1,pdf,1,0,0,12,0,0,0,0.00,0.01,0,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0.16,0.48,0,0,0,0,1.5,1,1,0.00,3889,1,1,quarantine,0.96,0,1,0,0,1,3889,0,0,0,0,0,0.03,1,0,0.92,0.95,0.94,document_download,pass,pass,pass,1,No Action
email_009,0.81,0.13,0.07,0.32,3,0,654,0,0.21,30,0,none,0,0,0,17,1,0,4,0.08,0.09,0,0,0,3,0.1,0,0,0,0,0,0.08,2,1,1,0,0.38,0.30,0,0,0,0,0,5,4,0.08,654,1,1,reject,0.77,0,0,0,0,1,654,0,0,0,0,0,0.11,0,1,0.76,0.78,0.77,none,pass,pass,pass,1,No Action
email_010,0.90,0.05,0.02,0.14,0,0,2678,0,0.12,22,1,docx,1,0,0,14,0,0,1,0.02,0.03,0,0,0,1,0,0,0,0,0,0,0.01,0,0,0,0,0.21,0.41,0,0,0,0,0.7,2,1,0.02,2678,1,1,quarantine,0.92,0,1,0,0,1,2678,0,0,0,0,0,0.08,1,0,0.86,0.90,0.88,document_download,pass,pass,pass,1,No Action
